Name,Year_Born,Gender,State,cnt
Mary,1910,F,AK,14
Annie,1910,F,AK,12
Anna,1910,F,AK,10
Margaret,1910,F,AK,8
Helen,1910,F,AK,7
Elsie,1910,F,AK,6
Lucy,1910,F,AK,6
Dorothy,1910,F,AK,5
Mary,1911,F,AK,12
Margaret,1911,F,AK,7
Ruth,1911,F,AK,7
Annie,1911,F,AK,6
Elizabeth,1911,F,AK,6
Helen,1911,F,AK,6
Mary,1912,F,AK,9
Elsie,1912,F,AK,8
Agnes,1912,F,AK,7
Anna,1912,F,AK,7
Helen,1912,F,AK,7
Louise,1912,F,AK,7
Jean,1912,F,AK,6
Ruth,1912,F,AK,6
Alice,1912,F,AK,5
Esther,1912,F,AK,5
Ethel,1912,F,AK,5
Margaret,1912,F,AK,5
Marie,1912,F,AK,5
Mary,1913,F,AK,21
Elizabeth,1913,F,AK,9
Margaret,1913,F,AK,8
Helen,1913,F,AK,7
Alice,1913,F,AK,5
Annie,1913,F,AK,5
Louise,1913,F,AK,5
Mary,1914,F,AK,22
Margaret,1914,F,AK,10
Alice,1914,F,AK,8
Annie,1914,F,AK,8
Elizabeth,1914,F,AK,7
Helen,1914,F,AK,7
Clara,1914,F,AK,6
Dorothy,1914,F,AK,6
Martha,1914,F,AK,6
Agnes,1914,F,AK,5
Esther,1914,F,AK,5
Frances,1914,F,AK,5
Julia,1914,F,AK,5
Lillian,1914,F,AK,5
Mildred,1914,F,AK,5
Pauline,1914,F,AK,5
Mary,1915,F,AK,23
Alice,1915,F,AK,13
Helen,1915,F,AK,12
Anna,1915,F,AK,10
Dorothy,1915,F,AK,10
Margaret,1915,F,AK,9
Ruth,1915,F,AK,9
Elizabeth,1915,F,AK,7
Frances,1915,F,AK,6
Katherine,1915,F,AK,6
Martha,1915,F,AK,6
Annie,1915,F,AK,5
Clara,1915,F,AK,5
Emma,1915,F,AK,5
Hazel,1915,F,AK,5
Julia,1915,F,AK,5
Marie,1915,F,AK,5
Minnie,1915,F,AK,5
Pauline,1915,F,AK,5
Mary,1916,F,AK,18
Helen,1916,F,AK,12
Dorothy,1916,F,AK,8
Frances,1916,F,AK,8
Ruth,1916,F,AK,8
Alice,1916,F,AK,7
Anna,1916,F,AK,7
Agnes,1916,F,AK,6
Annie,1916,F,AK,6
Julia,1916,F,AK,6
Lillian,1916,F,AK,6
Margaret,1916,F,AK,6
Daisy,1916,F,AK,5
Edna,1916,F,AK,5
Esther,1916,F,AK,5
Evelyn,1916,F,AK,5
Florence,1916,F,AK,5
Katherine,1916,F,AK,5
Louise,1916,F,AK,5
Lucy,1916,F,AK,5
Marie,1916,F,AK,5
Sally,1916,F,AK,5
Mary,1917,F,AK,21
Margaret,1917,F,AK,11
Helen,1917,F,AK,10
Frances,1917,F,AK,9
Alice,1917,F,AK,7
Olga,1917,F,AK,7
Ruth,1917,F,AK,7
Clara,1917,F,AK,6
Dorothy,1917,F,AK,6
Anna,1917,F,AK,5
Edith,1917,F,AK,5
Florence,1917,F,AK,5
Maggie,1917,F,AK,5
Rose,1917,F,AK,5
Sophie,1917,F,AK,5
Mary,1918,F,AK,27
Margaret,1918,F,AK,11
Helen,1918,F,AK,10
Marie,1918,F,AK,10
Martha,1918,F,AK,10
Ruth,1918,F,AK,10
Anna,1918,F,AK,8
Gertrude,1918,F,AK,8
Julia,1918,F,AK,7
Virginia,1918,F,AK,7
Alice,1918,F,AK,6
Elizabeth,1918,F,AK,6
Annie,1918,F,AK,5
Clara,1918,F,AK,5
Elsie,1918,F,AK,5
Emma,1918,F,AK,5
Sarah,1918,F,AK,5
Stella,1918,F,AK,5
Vera,1918,F,AK,5
Mary,1919,F,AK,22
Margaret,1919,F,AK,17
Dorothy,1919,F,AK,13
Betty,1919,F,AK,11
Helen,1919,F,AK,11
Martha,1919,F,AK,9
Virginia,1919,F,AK,9
Irene,1919,F,AK,8
Elizabeth,1919,F,AK,7
Emma,1919,F,AK,7
Marie,1919,F,AK,7
Agnes,1919,F,AK,6
Annie,1919,F,AK,6
Barbara,1919,F,AK,6
Frances,1919,F,AK,6
Gladys,1919,F,AK,6
Jean,1919,F,AK,6
Louise,1919,F,AK,6
Ann,1919,F,AK,5
